sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
1332,1.0,1,-1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
1813,1.4697265625,350,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
1853,1.5087890625,351,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
8502,8.001953125,115,-1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
8884,8.375,350,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
9158,8.642578125,103,-1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
9174,8.658203125,351,1,7,144392,141.0078125,144700,141.30859375,158012,154.30859375
308,0.0,12,-1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
1332,1.0,1,-1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
8173,7.6806640625,350,1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
8207,7.7138671875,351,1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
8502,8.001953125,112,-1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
8957,8.4462890625,350,0,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
9235,8.7177734375,101,-1,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
9250,8.732421875,351,0,8,161587,157.7998046875,161895,158.1005859375,175207,171.1005859375
308,0.0,15,-1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
343,0.0341796875,350,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
368,0.05859375,351,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
1332,1.0,1,-1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
8501,8.0009765625,115,-1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
8797,8.2900390625,350,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
8847,8.3388671875,351,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
9229,8.7119140625,350,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
9275,8.7568359375,351,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
9289,8.7705078125,350,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
9470,8.947265625,103,-1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
9516,8.9921875,351,1,9,178858,174.666015625,179166,174.966796875,192478,187.966796875
308,0.0,12,-1,10,196351,191.7490234375,196659,192.0498046875,209971,205.0498046875
1332,1.0,1,-1,10,196351,191.7490234375,196659,192.0498046875,209971,205.0498046875
8503,8.0029296875,112,-1,10,196351,191.7490234375,196659,192.0498046875,209971,205.0498046875
8945,8.4345703125,350,0,10,196351,191.7490234375,196659,192.0498046875,209971,205.0498046875
9214,8.697265625,101,-1,10,196351,191.7490234375,196659,192.0498046875,209971,205.0498046875
9240,8.72265625,351,0,10,196351,191.7490234375,196659,192.0498046875,209971,205.0498046875
308,0.0,12,-1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
1331,0.9990234375,1,-1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
4379,3.9755859375,350,1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
4394,3.990234375,351,1,11,213597,208.5908203125,213905,208.8916015625,227217,221.8916015625
